data,sku,descricao,qtd_usada_unidades,custo_unitario_brl
2024-05-03,SOB004,Gelato Misto,30,6.17
2024-05-03,PRI004,Risotto ai Funghi,51,23.42
2024-05-03,BEB008,Suco Natural,58,3.1
2024-05-03,BEB005,Vinho Branco (Taça),22,8.68
2024-05-03,ENT004,Antepasto Misto,46,20.62
2024-05-03,SOB001,Tiramisu,48,9.79
2024-05-03,BEB001,Refrigerante,41,1.57
2024-05-03,BEB007,Aperol Spritz,32,12.9
2024-05-03,PRI001,Spaghetti alla Carbonara,72,18.77
2024-05-03,PRI005,Gnocchi al Pesto,56,18.36
2024-05-03,PRI007,Ossobuco alla Milanese,43,33.48
2024-05-03,SOB002,Panna Cotta,26,8.35
2024-05-03,ENT002,Carpaccio de Filé Mignon,43,14.59
2024-05-03,SOB003,Cannoli Siciliano,36,7.29
2024-05-03,PRI003,Lasagna Bolognese,53,19.32
2024-05-03,ENT005,Calamari Fritti,31,14.22
2024-05-03,BEB003,Café Espresso,39,1.73
2024-05-03,BEB002,Água Mineral,35,1.0
2024-05-03,BEB006,Prosecco (Taça),24,11.91
2024-05-03,ENT001,Bruschetta Tradicional,32,8.3
2024-05-03,ENT003,Burrata com Tomate,34,17.88
2024-05-04,PRI005,Gnocchi al Pesto,49,17.41
2024-05-04,BEB005,Vinho Branco (Taça),28,8.71
2024-05-04,PRI006,Filetto di Manzo,52,31.84
2024-05-04,PRI002,Fettuccine Alfredo,56,17.42
2024-05-04,PRI001,Spaghetti alla Carbonara,54,19.03
2024-05-04,PRI008,Pizza Margherita,62,14.1
2024-05-04,ENT003,Burrata com Tomate,40,18.79
2024-05-04,ENT005,Calamari Fritti,39,14.14
2024-05-04,BEB004,Vinho Tinto (Taça),25,11.19
2024-05-04,PRI007,Ossobuco alla Milanese,63,34.94
2024-05-04,BEB002,Água Mineral,16,1.0
2024-05-04,ENT002,Carpaccio de Filé Mignon,45,14.82
2024-05-04,ENT001,Bruschetta Tradicional,38,8.88
2024-05-04,PRI004,Risotto ai Funghi,62,23.49
2024-05-04,SOB002,Panna Cotta,47,8.58
2024-05-04,ENT004,Antepasto Misto,27,20.36
2024-05-04,BEB001,Refrigerante,42,1.67
2024-05-04,SOB003,Cannoli Siciliano,31,6.97
2024-05-04,BEB007,Aperol Spritz,37,12.39
2024-05-04,BEB003,Café Espresso,32,1.72
2024-05-04,PRI003,Lasagna Bolognese,61,18.66
2024-05-04,BEB006,Prosecco (Taça),35,11.23
2024-05-04,BEB008,Suco Natural,35,3.1
2024-05-04,SOB001,Tiramisu,25,9.57
2024-05-04,SOB004,Gelato Misto,12,6.48
2024-05-05,PRI003,Lasagna Bolognese,78,20.1
2024-05-05,BEB003,Café Espresso,51,1.68
2024-05-05,BEB004,Vinho Tinto (Taça),31,10.39
2024-05-05,PRI006,Filetto di Manzo,77,31.33
2024-05-05,ENT003,Burrata com Tomate,26,17.7
2024-05-05,ENT001,Bruschetta Tradicional,38,8.71
2024-05-05,SOB002,Panna Cotta,48,8.63
2024-05-05,PRI001,Spaghetti alla Carbonara,60,17.99
2024-05-05,PRI007,Ossobuco alla Milanese,82,35.73
2024-05-05,BEB006,Prosecco (Taça),25,11.36
2024-05-05,PRI005,Gnocchi al Pesto,50,18.56
2024-05-05,PRI004,Risotto ai Funghi,77,21.67
2024-05-05,SOB003,Cannoli Siciliano,48,6.84
2024-05-05,SOB004,Gelato Misto,47,6.58
2024-05-05,PRI002,Fettuccine Alfredo,49,16.99
2024-05-05,BEB002,Água Mineral,39,0.97
2024-05-05,PRI008,Pizza Margherita,66,14.56
2024-05-05,BEB005,Vinho Branco (Taça),33,9.15
2024-05-05,ENT002,Carpaccio de Filé Mignon,33,15.57
2024-05-05,BEB001,Refrigerante,22,1.65
2024-05-05,ENT005,Calamari Fritti,44,13.61
2024-05-05,BEB008,Suco Natural,34,3.24
2024-05-05,ENT004,Antepasto Misto,32,20.14
2024-05-05,SOB001,Tiramisu,41,9.79
2024-05-05,BEB007,Aperol Spritz,28,12.38
2024-05-06,PRI002,Fettuccine Alfredo,54,17.29
2024-05-06,PRI005,Gnocchi al Pesto,30,17.57
2024-05-06,BEB007,Aperol Spritz,39,12.73
2024-05-06,PRI004,Risotto ai Funghi,42,23.24
2024-05-06,PRI003,Lasagna Bolognese,45,19.73
2024-05-06,PRI007,Ossobuco alla Milanese,31,36.67
2024-05-06,SOB003,Cannoli Siciliano,18,7.36
2024-05-06,BEB006,Prosecco (Taça),25,11.86
2024-05-06,PRI008,Pizza Margherita,48,13.66
2024-05-06,PRI001,Spaghetti alla Carbonara,54,18.47
2024-05-06,SOB002,Panna Cotta,23,8.35
2024-05-06,ENT001,Bruschetta Tradicional,27,8.22
2024-05-06,ENT003,Burrata com Tomate,20,17.64
2024-05-06,BEB003,Café Espresso,11,1.69
2024-05-06,PRI006,Filetto di Manzo,29,31.17
2024-05-06,BEB002,Água Mineral,21,1.02
2024-05-06,BEB008,Suco Natural,27,3.11
2024-05-06,ENT002,Carpaccio de Filé Mignon,8,14.77
2024-05-06,BEB005,Vinho Branco (Taça),13,8.98
2024-05-06,SOB001,Tiramisu,33,10.24
2024-05-06,ENT005,Calamari Fritti,30,13.93
2024-05-06,SOB004,Gelato Misto,16,6.28
2024-05-06,ENT004,Antepasto Misto,26,20.29
2024-05-06,BEB001,Refrigerante,42,1.68
2024-05-06,BEB004,Vinho Tinto (Taça),18,10.8
2024-05-07,PRI002,Fettuccine Alfredo,45,16.23
2024-05-07,PRI001,Spaghetti alla Carbonara,44,19.06
2024-05-07,ENT005,Calamari Fritti,30,13.67
2024-05-07,BEB002,Água Mineral,33,1.04
2024-05-07,PRI005,Gnocchi al Pesto,49,17.14
2024-05-07,PRI008,Pizza Margherita,32,13.83
2024-05-07,BEB005,Vinho Branco (Taça),37,8.82
2024-05-07,PRI006,Filetto di Manzo,46,31.8
2024-05-07,SOB004,Gelato Misto,27,6.11
2024-05-07,BEB008,Suco Natural,22,3.19
2024-05-07,PRI004,Risotto ai Funghi,34,23.17
2024-05-07,BEB007,Aperol Spritz,37,11.98
2024-05-07,BEB003,Café Espresso,19,1.75
2024-05-07,BEB006,Prosecco (Taça),31,11.1
2024-05-07,SOB002,Panna Cotta,20,8.46
2024-05-07,ENT001,Bruschetta Tradicional,21,8.82
2024-05-07,SOB003,Cannoli Siciliano,41,7.17
2024-05-07,BEB001,Refrigerante,21,1.55
2024-05-07,PRI007,Ossobuco alla Milanese,42,35.95
2024-05-07,ENT002,Carpaccio de Filé Mignon,31,14.65
2024-05-07,ENT003,Burrata com Tomate,34,17.35
2024-05-07,PRI003,Lasagna Bolognese,32,19.76
2024-05-07,SOB001,Tiramisu,13,9.83
2024-05-07,ENT004,Antepasto Misto,15,19.95
2024-05-07,BEB004,Vinho Tinto (Taça),15,10.83
2024-05-08,PRI001,Spaghetti alla Carbonara,53,18.49
2024-05-08,PRI004,Risotto ai Funghi,40,21.89
2024-05-08,PRI002,Fettuccine Alfredo,42,16.26
2024-05-08,ENT002,Carpaccio de Filé Mignon,14,14.51
2024-05-08,PRI005,Gnocchi al Pesto,44,18.02
2024-05-08,BEB006,Prosecco (Taça),34,11.71
2024-05-08,PRI003,Lasagna Bolognese,41,19.88
2024-05-08,ENT005,Calamari Fritti,24,14.43
2024-05-08,SOB004,Gelato Misto,34,6.58
2024-05-08,BEB004,Vinho Tinto (Taça),30,11.02
2024-05-08,SOB002,Panna Cotta,15,8.89
2024-05-08,BEB007,Aperol Spritz,20,12.87
2024-05-08,BEB003,Café Espresso,27,1.66
2024-05-08,PRI007,Ossobuco alla Milanese,32,33.67
2024-05-08,PRI008,Pizza Margherita,36,14.1
2024-05-08,BEB008,Suco Natural,32,3.26
2024-05-08,PRI006,Filetto di Manzo,56,31.98
2024-05-08,ENT001,Bruschetta Tradicional,40,8.21
2024-05-08,BEB002,Água Mineral,29,1.03
2024-05-08,BEB001,Refrigerante,20,1.57
2024-05-08,SOB001,Tiramisu,17,9.71
2024-05-08,ENT004,Antepasto Misto,25,20.5
2024-05-08,ENT003,Burrata com Tomate,34,17.38
2024-05-08,BEB005,Vinho Branco (Taça),21,8.65
2024-05-08,SOB003,Cannoli Siciliano,32,7.26
2024-05-09,PRI002,Fettuccine Alfredo,54,16.92
2024-05-09,ENT002,Carpaccio de Filé Mignon,27,15.43
2024-05-09,BEB007,Aperol Spritz,14,12.56
2024-05-09,SOB002,Panna Cotta,19,8.38
2024-05-09,PRI001,Spaghetti alla Carbonara,51,19.38
2024-05-09,PRI006,Filetto di Manzo,58,31.83
2024-05-09,BEB003,Café Espresso,20,1.68
2024-05-09,PRI003,Lasagna Bolognese,39,20.4
2024-05-09,ENT005,Calamari Fritti,23,13.51
2024-05-09,ENT001,Bruschetta Tradicional,23,8.34
2024-05-09,BEB001,Refrigerante,21,1.58
2024-05-09,PRI004,Risotto ai Funghi,52,22.67
2024-05-09,ENT004,Antepasto Misto,13,20.54
2024-05-09,PRI005,Gnocchi al Pesto,22,16.84
2024-05-09,SOB004,Gelato Misto,35,6.27
2024-05-09,ENT003,Burrata com Tomate,16,18.64
2024-05-09,SOB003,Cannoli Siciliano,14,7.23
2024-05-09,PRI007,Ossobuco alla Milanese,38,36.05
2024-05-09,BEB006,Prosecco (Taça),32,11.91
2024-05-09,PRI008,Pizza Margherita,39,13.96
2024-05-09,SOB001,Tiramisu,28,9.43
2024-05-09,BEB002,Água Mineral,14,0.98
2024-05-09,BEB004,Vinho Tinto (Taça),24,10.3
2024-05-09,BEB008,Suco Natural,20,3.19
2024-05-09,BEB005,Vinho Branco (Taça),21,9.44
2024-05-10,PRI007,Ossobuco alla Milanese,58,35.11
2024-05-10,PRI002,Fettuccine Alfredo,75,17.3
2024-05-10,PRI008,Pizza Margherita,52,14.26
2024-05-10,PRI004,Risotto ai Funghi,73,23.19
2024-05-10,BEB004,Vinho Tinto (Taça),31,10.8
2024-05-10,PRI005,Gnocchi al Pesto,63,18.23
2024-05-10,BEB003,Café Espresso,40,1.7
2024-05-10,PRI006,Filetto di Manzo,59,32.68
2024-05-10,ENT002,Carpaccio de Filé Mignon,32,14.44
2024-05-10,PRI001,Spaghetti alla Carbonara,58,17.89
2024-05-10,BEB006,Prosecco (Taça),25,11.31
2024-05-10,SOB003,Cannoli Siciliano,42,6.8
2024-05-10,ENT004,Antepasto Misto,28,19.56
2024-05-10,BEB002,Água Mineral,13,0.98
2024-05-10,BEB008,Suco Natural,26,3.26
2024-05-10,SOB001,Tiramisu,35,9.38
2024-05-10,BEB007,Aperol Spritz,46,11.84
2024-05-10,ENT001,Bruschetta Tradicional,37,8.16
2024-05-10,PRI003,Lasagna Bolognese,60,18.54
2024-05-10,ENT003,Burrata com Tomate,31,18.65
2024-05-10,BEB001,Refrigerante,26,1.6
2024-05-10,SOB002,Panna Cotta,35,8.68
2024-05-10,SOB004,Gelato Misto,22,6.2
2024-05-10,ENT005,Calamari Fritti,22,14.3
2024-05-10,BEB005,Vinho Branco (Taça),12,9.54
2024-05-11,PRI006,Filetto di Manzo,54,33.63
2024-05-11,ENT004,Antepasto Misto,43,20.58
2024-05-11,BEB005,Vinho Branco (Taça),35,9.36
2024-05-11,PRI005,Gnocchi al Pesto,69,17.27
2024-05-11,ENT001,Bruschetta Tradicional,41,8.23
2024-05-11,BEB001,Refrigerante,33,1.61
2024-05-11,ENT003,Burrata com Tomate,43,17.86
2024-05-11,SOB001,Tiramisu,40,10.13
2024-05-11,ENT002,Carpaccio de Filé Mignon,30,15.55
2024-05-11,PRI002,Fettuccine Alfredo,75,16.87
2024-05-11,BEB004,Vinho Tinto (Taça),48,10.6
2024-05-11,SOB002,Panna Cotta,22,8.9
2024-05-11,SOB003,Cannoli Siciliano,32,7.15
2024-05-11,BEB002,Água Mineral,52,0.99
2024-05-11,PRI008,Pizza Margherita,64,14.8
2024-05-11,PRI001,Spaghetti alla Carbonara,76,18.02
2024-05-11,PRI004,Risotto ai Funghi,62,22.78
2024-05-11,BEB007,Aperol Spritz,34,12.98
2024-05-11,PRI003,Lasagna Bolognese,60,20.26
2024-05-11,ENT005,Calamari Fritti,39,14.54
2024-05-11,BEB003,Café Espresso,48,1.78
2024-05-11,PRI007,Ossobuco alla Milanese,64,34.23
2024-05-11,SOB004,Gelato Misto,38,6.55
2024-05-11,BEB008,Suco Natural,30,3.06
2024-05-11,BEB006,Prosecco (Taça),34,11.43
2024-05-12,PRI004,Risotto ai Funghi,75,22.02
2024-05-12,BEB006,Prosecco (Taça),36,11.14
2024-05-12,PRI006,Filetto di Manzo,57,31.05
2024-05-12,BEB002,Água Mineral,54,0.99
2024-05-12,BEB008,Suco Natural,41,3.2
2024-05-12,ENT003,Burrata com Tomate,33,18.13
2024-05-12,BEB001,Refrigerante,33,1.61
2024-05-12,PRI007,Ossobuco alla Milanese,68,34.47
2024-05-12,ENT004,Antepasto Misto,46,20.03
2024-05-12,PRI008,Pizza Margherita,48,14.34
2024-05-12,ENT002,Carpaccio de Filé Mignon,32,14.92
2024-05-12,SOB001,Tiramisu,21,9.6
2024-05-12,SOB003,Cannoli Siciliano,30,7.4
2024-05-12,SOB002,Panna Cotta,33,8.23
2024-05-12,PRI003,Lasagna Bolognese,52,20.2
2024-05-12,PRI001,Spaghetti alla Carbonara,54,17.91
2024-05-12,BEB004,Vinho Tinto (Taça),25,10.5
2024-05-12,SOB004,Gelato Misto,42,6.26
2024-05-12,BEB007,Aperol Spritz,23,11.82
2024-05-12,BEB003,Café Espresso,21,1.75
2024-05-12,PRI002,Fettuccine Alfredo,50,16.35
2024-05-12,PRI005,Gnocchi al Pesto,43,18.28
2024-05-12,BEB005,Vinho Branco (Taça),21,9.42
2024-05-12,ENT001,Bruschetta Tradicional,23,8.28
2024-05-12,ENT005,Calamari Fritti,18,14.53
2024-05-13,PRI004,Risotto ai Funghi,50,23.25
2024-05-13,SOB003,Cannoli Siciliano,27,7.28
2024-05-13,PRI003,Lasagna Bolognese,34,18.78
2024-05-13,PRI008,Pizza Margherita,30,14.57
2024-05-13,PRI006,Filetto di Manzo,45,30.75
2024-05-13,SOB001,Tiramisu,9,10.14
2024-05-13,PRI005,Gnocchi al Pesto,39,17.1
2024-05-13,BEB006,Prosecco (Taça),13,11.29
2024-05-13,PRI002,Fettuccine Alfredo,41,17.68
2024-05-13,ENT001,Bruschetta Tradicional,25,8.61
2024-05-13,PRI007,Ossobuco alla Milanese,33,36.04
2024-05-13,ENT004,Antepasto Misto,18,19.74
2024-05-13,BEB003,Café Espresso,27,1.77
2024-05-13,ENT003,Burrata com Tomate,19,17.44
2024-05-13,BEB004,Vinho Tinto (Taça),36,11.02
2024-05-13,BEB007,Aperol Spritz,24,11.83
2024-05-13,BEB002,Água Mineral,11,0.99
2024-05-13,SOB004,Gelato Misto,19,6.46
2024-05-13,ENT002,Carpaccio de Filé Mignon,25,15.85
2024-05-13,PRI001,Spaghetti alla Carbonara,31,19.06
2024-05-13,BEB005,Vinho Branco (Taça),20,8.72
2024-05-13,BEB008,Suco Natural,15,3.31
2024-05-13,SOB002,Panna Cotta,17,8.74
2024-05-13,ENT005,Calamari Fritti,16,14.02
2024-05-13,BEB001,Refrigerante,20,1.67
2024-05-14,PRI001,Spaghetti alla Carbonara,35,18.58
2024-05-14,PRI006,Filetto di Manzo,41,33.68
2024-05-14,SOB002,Panna Cotta,19,8.08
2024-05-14,BEB003,Café Espresso,40,1.77
2024-05-14,ENT002,Carpaccio de Filé Mignon,32,15.77
2024-05-14,ENT004,Antepasto Misto,30,20.75
2024-05-14,BEB001,Refrigerante,22,1.61
2024-05-14,BEB004,Vinho Tinto (Taça),28,10.79
2024-05-14,PRI004,Risotto ai Funghi,34,21.92
2024-05-14,BEB006,Prosecco (Taça),31,12.02
2024-05-14,ENT003,Burrata com Tomate,23,18.21
2024-05-14,PRI008,Pizza Margherita,65,13.62
2024-05-14,PRI003,Lasagna Bolognese,34,20.33
2024-05-14,PRI002,Fettuccine Alfredo,55,17.17
2024-05-14,PRI007,Ossobuco alla Milanese,48,33.68
2024-05-14,BEB002,Água Mineral,31,1.02
2024-05-14,PRI005,Gnocchi al Pesto,48,17.69
2024-05-14,SOB003,Cannoli Siciliano,17,7.27
2024-05-14,ENT005,Calamari Fritti,26,13.72
2024-05-14,SOB004,Gelato Misto,20,6.71
2024-05-14,ENT001,Bruschetta Tradicional,27,8.26
2024-05-14,SOB001,Tiramisu,22,9.85
2024-05-14,BEB007,Aperol Spritz,24,12.73
2024-05-14,BEB008,Suco Natural,11,3.31
2024-05-14,BEB005,Vinho Branco (Taça),21,8.85
2024-05-15,PRI001,Spaghetti alla Carbonara,58,17.95
2024-05-15,PRI002,Fettuccine Alfredo,65,17.62
2024-05-15,ENT005,Calamari Fritti,13,14.46
2024-05-15,BEB008,Suco Natural,17,3.1
2024-05-15,PRI008,Pizza Margherita,44,13.88
2024-05-15,BEB005,Vinho Branco (Taça),32,8.76
2024-05-15,PRI004,Risotto ai Funghi,43,23.88
2024-05-15,ENT001,Bruschetta Tradicional,24,8.37
2024-05-15,SOB001,Tiramisu,22,10.12
2024-05-15,PRI006,Filetto di Manzo,38,30.88
2024-05-15,BEB001,Refrigerante,22,1.59
2024-05-15,PRI003,Lasagna Bolognese,42,20.14
2024-05-15,BEB006,Prosecco (Taça),29,11.91
2024-05-15,BEB007,Aperol Spritz,20,11.87
2024-05-15,ENT003,Burrata com Tomate,16,18.85
2024-05-15,SOB003,Cannoli Siciliano,19,6.81
2024-05-15,ENT002,Carpaccio de Filé Mignon,24,15.21
2024-05-15,PRI005,Gnocchi al Pesto,52,18.47
2024-05-15,BEB002,Água Mineral,21,1.05
2024-05-15,SOB004,Gelato Misto,22,6.15
2024-05-15,ENT004,Antepasto Misto,13,21.5
2024-05-15,PRI007,Ossobuco alla Milanese,54,36.08
2024-05-15,BEB004,Vinho Tinto (Taça),29,10.6
2024-05-15,SOB002,Panna Cotta,32,8.18
2024-05-15,BEB003,Café Espresso,22,1.68
2024-05-16,PRI003,Lasagna Bolognese,39,19.46
2024-05-16,ENT003,Burrata com Tomate,14,18.57
2024-05-16,BEB001,Refrigerante,15,1.63
2024-05-16,BEB004,Vinho Tinto (Taça),20,10.8
2024-05-16,BEB003,Café Espresso,17,1.65
2024-05-16,ENT002,Carpaccio de Filé Mignon,21,14.49
2024-05-16,PRI008,Pizza Margherita,31,13.87
2024-05-16,PRI005,Gnocchi al Pesto,47,17.71
2024-05-16,PRI002,Fettuccine Alfredo,45,17.04
2024-05-16,SOB001,Tiramisu,35,9.4
2024-05-16,PRI006,Filetto di Manzo,48,30.93
2024-05-16,PRI004,Risotto ai Funghi,42,22.38
2024-05-16,PRI001,Spaghetti alla Carbonara,39,19.04
2024-05-16,ENT004,Antepasto Misto,13,21.18
2024-05-16,PRI007,Ossobuco alla Milanese,45,36.28
2024-05-16,ENT001,Bruschetta Tradicional,22,8.7
2024-05-16,SOB002,Panna Cotta,36,8.76
2024-05-16,BEB007,Aperol Spritz,29,12.68
2024-05-16,BEB008,Suco Natural,12,3.07
2024-05-16,SOB003,Cannoli Siciliano,17,6.84
2024-05-16,BEB005,Vinho Branco (Taça),27,9.42
2024-05-16,ENT005,Calamari Fritti,14,13.63
2024-05-16,BEB002,Água Mineral,29,0.97
2024-05-16,SOB004,Gelato Misto,12,6.28
2024-05-16,BEB006,Prosecco (Taça),12,11.83
2024-05-17,PRI004,Risotto ai Funghi,58,22.42
2024-05-17,ENT001,Bruschetta Tradicional,24,8.72
2024-05-17,SOB001,Tiramisu,22,9.87
2024-05-17,ENT004,Antepasto Misto,18,19.68
2024-05-17,PRI008,Pizza Margherita,63,14.48
2024-05-17,ENT003,Burrata com Tomate,29,17.33
2024-05-17,PRI007,Ossobuco alla Milanese,58,33.51
2024-05-17,PRI003,Lasagna Bolognese,37,19.11
2024-05-17,PRI005,Gnocchi al Pesto,72,17.89
2024-05-17,SOB003,Cannoli Siciliano,29,7.01
2024-05-17,BEB005,Vinho Branco (Taça),39,9.5
2024-05-17,BEB001,Refrigerante,23,1.66
2024-05-17,BEB002,Água Mineral,39,1.02
2024-05-17,BEB007,Aperol Spritz,41,12.18
2024-05-17,PRI001,Spaghetti alla Carbonara,49,18.22
2024-05-17,ENT002,Carpaccio de Filé Mignon,31,14.55
2024-05-17,PRI002,Fettuccine Alfredo,61,16.09
2024-05-17,SOB004,Gelato Misto,31,6.69
2024-05-17,PRI006,Filetto di Manzo,73,33.22
2024-05-17,SOB002,Panna Cotta,26,8.24
2024-05-17,ENT005,Calamari Fritti,26,14.69
2024-05-17,BEB008,Suco Natural,32,3.23
2024-05-17,BEB004,Vinho Tinto (Taça),27,11.16
2024-05-17,BEB003,Café Espresso,29,1.66
2024-05-17,BEB006,Prosecco (Taça),32,11.07
2024-05-18,PRI005,Gnocchi al Pesto,40,18.12
2024-05-18,BEB007,Aperol Spritz,41,12.13
2024-05-18,ENT003,Burrata com Tomate,34,18.5
2024-05-18,ENT005,Calamari Fritti,31,13.94
2024-05-18,BEB008,Suco Natural,47,3.22
2024-05-18,PRI004,Risotto ai Funghi,52,21.82
2024-05-18,BEB005,Vinho Branco (Taça),35,8.83
2024-05-18,PRI003,Lasagna Bolognese,62,19.71
2024-05-18,BEB006,Prosecco (Taça),43,11.59
2024-05-18,PRI007,Ossobuco alla Milanese,68,33.51
2024-05-18,ENT001,Bruschetta Tradicional,31,8.49
2024-05-18,SOB001,Tiramisu,38,10.09
2024-05-18,PRI002,Fettuccine Alfredo,61,16.12
2024-05-18,SOB004,Gelato Misto,23,6.66
2024-05-18,BEB004,Vinho Tinto (Taça),45,10.34
2024-05-18,BEB002,Água Mineral,32,0.97
2024-05-18,PRI006,Filetto di Manzo,67,31.91
2024-05-18,PRI001,Spaghetti alla Carbonara,78,18.97
2024-05-18,SOB002,Panna Cotta,38,8.62
2024-05-18,SOB003,Cannoli Siciliano,47,7.31
2024-05-18,ENT004,Antepasto Misto,19,20.45
2024-05-18,BEB001,Refrigerante,33,1.64
2024-05-18,PRI008,Pizza Margherita,59,13.65
2024-05-18,BEB003,Café Espresso,35,1.65
2024-05-18,ENT002,Carpaccio de Filé Mignon,27,15.94
2024-05-19,PRI008,Pizza Margherita,68,13.78
2024-05-19,PRI004,Risotto ai Funghi,72,23.3
2024-05-19,BEB001,Refrigerante,44,1.64
2024-05-19,ENT004,Antepasto Misto,42,21.42
2024-05-19,ENT005,Calamari Fritti,43,14.31
2024-05-19,PRI001,Spaghetti alla Carbonara,64,17.99
2024-05-19,PRI003,Lasagna Bolognese,68,19.24
2024-05-19,ENT001,Bruschetta Tradicional,47,8.23
2024-05-19,BEB007,Aperol Spritz,53,12.05
2024-05-19,PRI007,Ossobuco alla Milanese,61,36.45
2024-05-19,SOB003,Cannoli Siciliano,53,7.35
2024-05-19,PRI005,Gnocchi al Pesto,55,18.08
2024-05-19,BEB006,Prosecco (Taça),33,11.21
2024-05-19,SOB002,Panna Cotta,26,8.47
2024-05-19,ENT003,Burrata com Tomate,33,17.53
2024-05-19,BEB004,Vinho Tinto (Taça),25,10.54
2024-05-19,ENT002,Carpaccio de Filé Mignon,35,14.45
2024-05-19,SOB004,Gelato Misto,27,6.43
2024-05-19,PRI006,Filetto di Manzo,72,32.65
2024-05-19,PRI002,Fettuccine Alfredo,44,16.51
2024-05-19,BEB003,Café Espresso,26,1.73
2024-05-19,BEB002,Água Mineral,36,1.02
2024-05-19,BEB008,Suco Natural,33,3.12
2024-05-19,SOB001,Tiramisu,24,9.91
2024-05-19,BEB005,Vinho Branco (Taça),28,9.08
2024-05-20,PRI004,Risotto ai Funghi,61,22.93
2024-05-20,SOB002,Panna Cotta,19,8.71
2024-05-20,SOB004,Gelato Misto,17,6.12
2024-05-20,BEB002,Água Mineral,10,1.04
2024-05-20,PRI001,Spaghetti alla Carbonara,47,18.3
2024-05-20,SOB003,Cannoli Siciliano,22,6.98
2024-05-20,PRI008,Pizza Margherita,50,13.72
2024-05-20,PRI006,Filetto di Manzo,40,32.69
2024-05-20,ENT005,Calamari Fritti,20,13.78
2024-05-20,PRI002,Fettuccine Alfredo,49,16.2
2024-05-20,BEB005,Vinho Branco (Taça),29,9.49
2024-05-20,BEB007,Aperol Spritz,14,12.72
2024-05-20,BEB008,Suco Natural,14,3.19
2024-05-20,BEB004,Vinho Tinto (Taça),19,10.42
2024-05-20,ENT001,Bruschetta Tradicional,25,8.58
2024-05-20,PRI005,Gnocchi al Pesto,39,18.08
2024-05-20,ENT002,Carpaccio de Filé Mignon,15,15.69
2024-05-20,SOB001,Tiramisu,17,9.83
2024-05-20,BEB003,Café Espresso,17,1.72
2024-05-20,PRI007,Ossobuco alla Milanese,60,35.01
